user_id,age,gender,country,platform,daily_usage_hours,sessions_per_day,avg_session_minutes,scroll_before_sleep,sleep_hours,notifications_per_day,posts_per_week,followers,addiction_score,anxiety_score,depression_score,productivity_score,fomo_score
USR0001,17,Female,Nigeria,TikTok,2.04,4,33.4,1,8.0,17,0,2683,18.4,9.7,7.2,91.3,16.1
USR0002,18,Female,Kenya,Instagram,4.34,13,16.1,1,7.8,70,4,53,47.7,24.3,18.0,75.2,21.5
USR0003,22,Male,USA,Instagram,4.92,15,26.8,1,7.2,43,5,35,44.4,28.9,23.6,64.5,20.9
USR0004,26,Male,Kenya,Instagram,4.42,9,32.1,1,8.4,33,4,482,34.5,18.5,14.5,77.3,10.4
USR0005,30,Female,Kenya,TikTok,4.77,11,21.0,1,6.9,49,2,191,45.3,36.1,18.1,71.3,22.7
USR0006,18,Male,South Africa,TikTok,6.04,19,16.9,1,7.6,107,1,691,53.6,32.3,21.7,58.8,31.4
USR0007,34,Female,India,TikTok,6.14,9,43.4,1,7.7,18,2,1181,44.5,27.7,13.8,70.0,27.0
USR0008,22,Male,Brazil,Instagram,5.55,18,22.0,1,7.1,51,2,76,50.9,28.4,27.3,67.3,28.7
USR0009,23,Female,South Africa,Instagram,7.85,15,27.6,1,6.6,44,3,997,56.6,36.7,21.0,64.2,24.6
USR0010,18,Female,India,Instagram,1.86,5,24.5,1,8.7,16,4,87,17.2,8.8,2.3,89.8,4.7
USR0011,13,Male,Kenya,TikTok,3.17,8,17.9,1,7.4,25,0,451,29.8,19.9,18.4,79.0,19.7
USR0012,30,Female,India,Instagram,2.21,5,26.3,1,7.8,21,7,63,19.0,8.4,12.8,92.6,14.4
USR0013,29,Male,South Africa,Instagram,6.65,21,22.3,1,7.7,116,6,491,58.1,35.8,15.1,52.4,28.0
USR0014,22,Female,India,TikTok,4.94,8,35.4,0,7.6,36,1,390,32.5,20.8,19.2,76.8,13.7
USR0015,24,Female,USA,TikTok,1.2,2,31.6,1,7.4,5,1,77,19.0,23.7,6.9,81.2,16.5
USR0016,27,Male,Nigeria,TikTok,2.68,6,27.2,1,8.9,32,3,52,30.7,28.0,10.5,77.8,13.2
USR0017,13,Female,South Africa,TikTok,4.75,14,18.5,1,7.4,63,4,1243,41.3,27.7,19.3,76.6,25.1
USR0018,20,Female,India,TikTok,3.11,6,33.0,0,7.7,17,2,204,22.3,14.9,14.1,78.5,10.3
USR0019,29,Male,Germany,TikTok,4.46,13,17.9,0,7.8,44,3,1840,34.6,15.2,17.6,70.1,11.0
USR0020,15,Male,Kenya,TikTok,5.26,12,24.0,1,7.9,61,4,178,45.2,29.1,18.8,83.3,32.3
USR0021,26,Female,Nigeria,Instagram,6.36,11,28.6,0,8.3,54,8,2844,38.7,21.8,13.9,65.0,20.1
USR0022,14,Female,Nigeria,TikTok,4.68,14,20.6,1,6.8,60,5,97,38.5,26.3,20.3,83.5,15.0
USR0023,27,Female,India,TikTok,7.13,11,38.4,1,7.6,28,2,3674,54.5,37.9,22.0,63.1,18.9
USR0024,23,Female,Kenya,TikTok,7.77,19,21.0,1,7.5,99,2,524,55.2,25.8,32.1,59.7,19.9
USR0025,13,Female,Kenya,TikTok,7.78,12,39.5,0,7.0,38,1,734,47.4,22.7,24.0,68.3,21.5
USR0026,32,Male,Germany,Instagram,3.57,7,33.7,1,8.3,35,3,89,21.3,11.9,5.4,91.0,22.2
USR0027,18,Female,Kenya,TikTok,1.67,4,24.3,1,8.7,18,1,1204,14.2,13.2,4.6,85.3,3.6
USR0028,18,Female,South Africa,TikTok,6.03,15,24.9,1,6.7,45,0,1268,46.6,30.3,21.5,66.7,32.0
